longitude,latitude,housing_median_age,total_rooms,population,households,median_income,ocean_proximity
0.7250996015936262,0.05207226354941571,0.27450980392156865,0.027798972480797598,0.010033913506544466,0.0287781614865976,0.4351664114977724,2
0.237051792828685,0.5005313496280551,0.6078431372549019,0.07350323007274022,0.033352952717284674,0.08074329879953955,0.3883463676363085,2
0.6035856573705172,0.15621679064824637,0.9607843137254902,0.05686962714278448,0.06289413940973682,0.0957079427725703,0.07935062964648765,2
0.646414342629482,0.13283740701381505,0.803921568627451,0.025993183783508827,0.013453291852350122,0.030587074494326592,0.2486241569081806,2
0.0986055776892426,0.7290116896918168,0.39215686274509803,0.0274429014700646,0.01995571624765268,0.045058378556158525,0.07328174783796086,2
0.7260956175298803,0.006376195536663363,0.45098039215686275,0.0276209369754311,0.030606238964096526,0.04028942608123664,0.13235679507868855,2
0.5936254980079679,0.16153028692879942,0.7058823529411765,0.07561422249351442,0.03609966647047283,0.10738365400427562,0.33321609357112314,2
0.2519920318725103,0.4984059511158338,0.47058823529411764,0.05969276158502467,0.035398974186496256,0.0628186153593159,0.30819574902415137,2
0.6215139442231076,0.15727948990435742,0.3137254901960784,0.24306933211251844,0.1478740996104151,0.3030751521131393,0.3207955752334451,2
0.5896414342629475,0.17747077577045708,0.49019607843137253,0.07286738898214558,0.0547100535328905,0.1050814010853478,0.2500034482283003,2
0.22808764940238982,0.5100956429330502,0.23529411764705882,0.05226613764687929,0.022057793099582387,0.07153428712382832,0.31090605646818664,2
0.9641434262948207,0.1466524973432521,0.3137254901960784,0.0024161961442596266,0.0007287199753356316,0.002302252918927808,0.05280616819078358,0
0.596613545816733,0.17853347502656738,0.7058823529411765,0.038404801871916174,0.043218700075674764,0.0575563229731952,0.2252658584019531,2
0.22609561752988025,0.5164718384697128,0.35294117647058826,0.09062007223154789,0.045853303063426665,0.1221838513402401,0.2520310064688763,2
0.5936254980079679,0.17747077577045708,0.2549019607843137,0.07134137036471845,0.07640348664480506,0.13188620292715014,0.14943242162177076,2
0.4611553784860557,0.2019128586609987,0.7450980392156863,0.0378198280685691,0.01953530087726674,0.043907252096694625,0.23323816223224506,2
0.3137450199203181,0.5589798087141334,0.7058823529411765,0.007858995879749734,0.004708652148322542,0.008715671764512416,0.24808623329333387,0
0.4671314741035858,0.4038257173219982,0.6078431372549019,0.033979347881377485,0.023991703803357717,0.04686729156388752,0.14757037833960912,0
0.22908366533864533,0.6078639744952175,0.6078431372549019,0.02716313139020296,0.01760139017349141,0.031902647590856766,0.15053585467786654,0
